strategy,strategy_label,concurrency,n,mean,stddev,median,CV,CI_low,CI_high,p99_mean,p99_stddev,p99_median,p99_CV,p99_CI_low,p99_CI_high,excluded_runs
disabled,Disabled,100,30,181803.13968839627,49001.348439657275,206196.39268666177,0.2695297150733686,164268.23234786332,199338.04702892923,2417.2,2925.171936001782,1020.0,1.2101489061731683,1370.440666099567,3463.9593339004327,
disabled,Disabled,200,30,130380.9133405865,59077.21141921698,93318.99395323667,0.4531124219454807,109240.40473909931,151521.42194207368,12194.333333333334,7856.196176764942,14893.5,0.6442497479784278,9383.029636696,15005.637029970669,
disabled,Disabled,300,30,180629.20316815333,59409.12843521558,215680.4597798327,0.328901015966448,159369.91958790307,201888.48674840358,11352.666666666666,14623.930933713513,3386.5,1.288149415736113,6119.560190162249,16585.773143171085,
disabled,Disabled,400,30,216358.82936553148,3174.749125202167,216502.64130087837,0.014673536247686603,215222.75998147338,217494.89874958957,4536.366666666667,503.77954150281016,4589.0,0.11105353215924862,4356.09147299141,4716.641860341923,
disabled,Disabled,500,30,217873.22367356965,1756.1812815681913,218564.81556065887,0.008060565001780137,217244.78227295395,218501.66507418535,5493.733333333334,456.4209289327299,5320.0,0.08308028461508808,5330.4052015173065,5657.061465149361,
disabled,Disabled,600,30,217593.2263452764,1923.627743492289,218206.31531513942,0.008840476221625948,216904.86499780545,218281.58769274736,6599.633333333333,821.6813495692141,6267.5,0.12450409107110205,6305.598438642974,6893.668228023693,
disabled,Disabled,700,30,217472.42906492043,2315.6366442660437,217938.1104209434,0.010647955026863538,216643.7891338877,218301.06899595316,7434.4,1384.7105660476986,7060.0,0.18625720516083324,6938.88768774182,7929.91231225818,
disabled,Disabled,1000,30,212759.23161030572,1000.8208773068205,213010.71456966206,0.004704006823731837,212401.09245889733,213117.37076171412,9325.566666666668,2750.1914000268434,8306.5,0.2949087705154836,8341.423313395742,10309.710019937593,
global_mutex,GlobalMutex,100,30,206150.26843881272,2623.1283089714466,206016.84522336608,0.01272435068281279,205211.5940287241,207088.94284890135,965.1666666666666,35.02913401563129,964.5,0.036293352459642166,952.6316520447812,977.7016812885521,
global_mutex,GlobalMutex,200,30,211687.35033513847,3403.8370074944123,212625.87638398635,0.016079548457220223,210469.30290523576,212905.39776504118,2007.1333333333334,88.58143859956111,1984.0,0.04413331049235781,1975.4348726298044,2038.8317940368624,
global_mutex,GlobalMutex,300,30,213691.24223670468,3560.118909031053,215227.1696094352,0.0166601067585518,212417.2700465717,214965.21442683766,3063.4,241.23970051268154,2966.0,0.07874900454158175,2977.073481852097,3149.7265181479033,
global_mutex,GlobalMutex,400,30,113887.03818534627,68398.00207476779,74945.42649486949,0.6005775825292161,89411.12748391776,138362.94888677477,36315.53333333333,22514.25085666369,46146.5,0.6199620049638178,28258.912134443854,44372.15453222281,
global_mutex,GlobalMutex,500,30,69846.2869948092,5589.86054944432,70848.92406280592,0.08003089054482945,67845.98108686646,71846.59290275193,62544.86666666667,7662.557346281819,61051.5,0.12251296956342517,59802.85573559949,65286.877597733845,
global_mutex,GlobalMutex,600,30,70286.77718941658,2253.9254831433404,70265.21185978007,0.032067560546547934,69480.22031378173,71093.33406505143,76636.7,3886.514448972108,75731.5,0.05071348908515252,75245.92866593576,78027.47133406423,
global_mutex,GlobalMutex,700,30,69020.90727237663,3050.4670538951264,68385.72266493778,0.04419627580172329,67929.31165636476,70112.5028883885,92839.83333333333,4942.917929818332,92826.5,0.05324134859302489,91071.03286862861,94608.63379803805,
global_mutex,GlobalMutex,1000,30,152949.54973201692,72397.466277689,209359.41112164798,0.47334213408628323,127042.44914616382,178856.65031787002,63502.26666666667,64575.90389874717,13635.5,1.016907069439209,40394.07623206865,86610.45710126469,
sharded_2key,Sharded-2key,100,30,201069.0766218142,11474.213893122002,205739.88192614354,0.05706602967448626,196963.0819129315,205175.0713306969,1050.7333333333333,197.39701519829373,968.5,0.187865949367071,980.0957186345802,1121.3709480320865,
sharded_2key,Sharded-2key,200,30,212026.62885517834,6113.185684708386,213944.49022142,0.028832159987243432,209839.0534526598,214214.20425769687,2008.8,133.14871126054817,1973.0,0.06628271169879937,1961.1533455953722,2056.4466544046277,
sharded_2key,Sharded-2key,300,30,214044.2858708667,7383.376387655878,216866.70222756584,0.03449462038949398,211402.17856279423,216686.39317893918,3031.8333333333335,322.2539246526301,2904.5,0.10629011862546206,2916.5162473991472,3147.1504192675197,
sharded_2key,Sharded-2key,400,30,216028.9076250167,2212.932627024618,216944.55761945757,0.010243687529383011,215237.01985455048,216820.7953954829,4128.633333333333,224.80220936043608,4087.5,0.054449545699651075,4048.188895851443,4209.077770815224,
