elapsed_secs,cpu_percent,total_commands_processed,throughput_ops_sec
0.000012,0.5000,13002026,
0.243289,38.7000,13022463,84007.176610
0.516941,43.3000,13033520,40405.285789
0.759895,52.9000,13047280,56636.231999
0.987272,50.7000,13056882,42229.480960
1.215071,57.5000,13075558,81984.492798
1.447491,62.0000,13085053,40852.814136
1.695438,49.2000,13094825,39411.652015
1.919958,52.0000,13105422,47198.424442
2.142846,46.3000,13115239,44044.543962
2.368874,48.5000,13133503,80804.160476
2.619950,62.0000,13153240,78609.669314
2.881689,60.8000,13166994,52548.528043
3.106951,55.9000,13187593,91444.658697
3.374662,65.6000,13200783,49269.518213
3.615681,63.4000,13216424,64895.295872
3.872392,54.6000,13230491,54797.027249
4.142947,51.9000,13244295,51021.045670
4.379317,50.5000,13259115,62698.352221
4.656047,57.9000,13277374,65981.266950
4.885621,66.0000,13297853,89204.365981
5.116931,59.3000,13312985,65418.733073
5.343617,105.5000,13341927,127674.269496
5.572609,118.3000,13356703,64526.275796
5.812066,73.0000,13365905,38428.590468
6.052640,56.3000,13384605,77730.798383
6.315554,59.4000,13398752,53808.481491
6.534129,54.8000,13409624,49740.363546
6.774879,67.0000,13430187,85412.226984
7.018560,56.5000,13442101,48891.798089
7.268272,57.2000,13457071,59949.063634
7.499463,66.4000,13486891,128984.304470
