strategy,strategy_label,concurrency,run_id,throughput,p99,median_latency,avg_latency,latency_stddev,latency_cv,errors,warmup_ops_per_client,measured_ops_per_client
disabled,Disabled,100,1,204815.59374537508,1012.0,463.0,482.5609333333333,191.0580678172889,0.3959252699913729,0,100,900
disabled,Disabled,100,2,207205.93161513572,975.0,459.0,477.996,169.92840865834143,0.3555017377934992,0,100,900
disabled,Disabled,100,3,93096.89136549606,5482.0,675.0,1065.3446333333334,1894.0188896895131,1.7778461827543628,0,100,900
disabled,Disabled,100,4,177850.0743160368,1451.0,513.0,556.4426777777778,278.2286460500137,0.5000131319207111,0,100,900
disabled,Disabled,100,5,210285.4506531813,944.0,454.0,470.9381666666667,167.3742085873972,0.355405911931249,0,100,900
disabled,Disabled,100,6,207014.5343041404,971.0,461.0,478.4983,173.8253907104083,0.3632727445644181,0,100,900
disabled,Disabled,100,7,187721.61592694264,1207.0,466.0,527.1509555555556,816.0776596614417,1.5480910184472512,0,100,900
disabled,Disabled,100,8,211921.11164095052,922.0,454.0,467.18254444444443,159.63123232791676,0.34168920527145147,0,100,900
disabled,Disabled,100,9,219964.396318407,987.0,427.0,448.4571,226.7465907713702,0.505614897771426,0,100,900
disabled,Disabled,100,10,80053.90296132729,9902.0,671.0,1235.0187222222223,2682.982211770681,2.172422298945457,0,100,900
disabled,Disabled,100,11,205676.85252712577,997.0,462.0,475.6583,194.60141641631205,0.4091201949305038,0,100,900
disabled,Disabled,100,12,209514.4589711036,1004.0,455.0,472.39553333333333,190.74259387228616,0.40377730188590444,0,100,900
disabled,Disabled,100,13,80465.19612050468,8916.0,653.0,1234.1761888888889,2115.140224979432,1.713807351026325,0,100,900
disabled,Disabled,100,14,212807.94500775982,998.0,447.0,462.64948888888887,204.41016549771365,0.4418251190304575,0,100,900
disabled,Disabled,100,15,219882.66630932965,844.0,444.0,450.0102111111111,164.94254183597397,0.3665306647791784,0,100,900
disabled,Disabled,100,16,205077.35435775432,1022.0,464.0,482.13753333333335,196.90570725519,0.4084015320148414,0,100,900
disabled,Disabled,100,17,131520.3977176827,4129.0,541.0,752.163,1427.621235782656,1.8980210882251,0,100,900
