# CommandStats (strategy: sharded_n)
cmdstat_flushdb:calls=30,total_time_us=35408,avg_time_us=1180.27,min_time_us=21,max_time_us=2726
cmdstat_ping:calls=31,total_time_us=920,avg_time_us=29.68,min_time_us=7,max_time_us=317
cmdstat_bench_key_0:calls=313,total_time_us=26271,avg_time_us=83.93,min_time_us=1,max_time_us=12685
cmdstat_bench_key_1:calls=300,total_time_us=5532,avg_time_us=18.44,min_time_us=1,max_time_us=1636
cmdstat_bench_key_10:calls=306,total_time_us=2152,avg_time_us=7.03,min_time_us=1,max_time_us=378
cmdstat_bench_key_100:calls=321,total_time_us=3040,avg_time_us=9.47,min_time_us=1,max_time_us=443
cmdstat_bench_key_1000:calls=287,total_time_us=2806,avg_time_us=9.78,min_time_us=1,max_time_us=369
cmdstat_bench_key_1001:calls=281,total_time_us=5474,avg_time_us=19.48,min_time_us=1,max_time_us=1271
cmdstat_bench_key_1002:calls=287,total_time_us=2648,avg_time_us=9.23,min_time_us=1,max_time_us=524
cmdstat_bench_key_1003:calls=299,total_time_us=4624,avg_time_us=15.46,min_time_us=1,max_time_us=826
cmdstat_bench_key_1004:calls=299,total_time_us=6718,avg_time_us=22.47,min_time_us=1,max_time_us=1543
cmdstat_bench_key_1005:calls=309,total_time_us=59742,avg_time_us=193.34,min_time_us=1,max_time_us=43629
cmdstat_bench_key_1006:calls=294,total_time_us=4945,avg_time_us=16.82,min_time_us=0,max_time_us=2190
cmdstat_bench_key_1007:calls=310,total_time_us=1678,avg_time_us=5.41,min_time_us=1,max_time_us=93
cmdstat_bench_key_1008:calls=302,total_time_us=4268,avg_time_us=14.13,min_time_us=1,max_time_us=1371
cmdstat_bench_key_1009:calls=312,total_time_us=5840,avg_time_us=18.72,min_time_us=1,max_time_us=3412
cmdstat_bench_key_101:calls=299,total_time_us=2846,avg_time_us=9.52,min_time_us=1,max_time_us=749
cmdstat_bench_key_1010:calls=292,total_time_us=45493,avg_time_us=155.80,min_time_us=1,max_time_us=40815
cmdstat_bench_key_1011:calls=310,total_time_us=4239,avg_time_us=13.67,min_time_us=1,max_time_us=1321
cmdstat_bench_key_1012:calls=309,total_time_us=6285,avg_time_us=20.34,min_time_us=0,max_time_us=1887
cmdstat_bench_key_1013:calls=316,total_time_us=3868,avg_time_us=12.24,min_time_us=1,max_time_us=540
cmdstat_bench_key_1014:calls=303,total_time_us=3754,avg_time_us=12.39,min_time_us=1,max_time_us=540
cmdstat_bench_key_1015:calls=278,total_time_us=26975,avg_time_us=97.03,min_time_us=1,max_time_us=14080
cmdstat_bench_key_1016:calls=301,total_time_us=10876,avg_time_us=36.13,min_time_us=1,max_time_us=5506
cmdstat_bench_key_1017:calls=305,total_time_us=102504,avg_time_us=336.08,min_time_us=1,max_time_us=84998
cmdstat_bench_key_1018:calls=310,total_time_us=3815,avg_time_us=12.31,min_time_us=1,max_time_us=1090
cmdstat_bench_key_1019:calls=273,total_time_us=2743,avg_time_us=10.05,min_time_us=0,max_time_us=403
cmdstat_bench_key_102:calls=320,total_time_us=3036,avg_time_us=9.49,min_time_us=1,max_time_us=535
cmdstat_bench_key_1020:calls=278,total_time_us=6443,avg_time_us=23.18,min_time_us=1,max_time_us=4274
cmdstat_bench_key_1021:calls=298,total_time_us=5209,avg_time_us=17.48,min_time_us=1,max_time_us=2260
cmdstat_bench_key_1022:calls=295,total_time_us=4721,avg_time_us=16.00,min_time_us=1,max_time_us=1135
cmdstat_bench_key_1023:calls=328,total_time_us=13026,avg_time_us=39.71,min_time_us=1,max_time_us=7677
cmdstat_bench_key_1024:calls=280,total_time_us=3947,avg_time_us=14.10,min_time_us=1,max_time_us=2052
cmdstat_bench_key_1025:calls=305,total_time_us=13623,avg_time_us=44.67,min_time_us=1,max_time_us=4611
cmdstat_bench_key_1026:calls=286,total_time_us=2859,avg_time_us=10.00,min_time_us=1,max_time_us=1065
cmdstat_bench_key_1027:calls=305,total_time_us=3449,avg_time_us=11.31,min_time_us=1,max_time_us=546
cmdstat_bench_key_1028:calls=286,total_time_us=2555,avg_time_us=8.93,min_time_us=1,max_time_us=357
cmdstat_bench_key_1029:calls=297,total_time_us=2713,avg_time_us=9.13,min_time_us=1,max_time_us=361
cmdstat_bench_key_103:calls=332,total_time_us=2885,avg_time_us=8.69,min_time_us=1,max_time_us=245
cmdstat_bench_key_1030:calls=271,total_time_us=2840,avg_time_us=10.48,min_time_us=1,max_time_us=658
cmdstat_bench_key_1031:calls=304,total_time_us=9392,avg_time_us=30.89,min_time_us=1,max_time_us=6820
cmdstat_bench_key_1032:calls=296,total_time_us=25419,avg_time_us=85.88,min_time_us=1,max_time_us=22831
cmdstat_bench_key_1033:calls=311,total_time_us=2551,avg_time_us=8.20,min_time_us=1,max_time_us=441
cmdstat_bench_key_1034:calls=296,total_time_us=6461,avg_time_us=21.83,min_time_us=0,max_time_us=3103
cmdstat_bench_key_1035:calls=276,total_time_us=2649,avg_time_us=9.60,min_time_us=1,max_time_us=657
cmdstat_bench_key_1036:calls=291,total_time_us=27229,avg_time_us=93.57,min_time_us=1,max_time_us=24513
cmdstat_bench_key_1037:calls=322,total_time_us=2298,avg_time_us=7.14,min_time_us=0,max_time_us=419
cmdstat_bench_key_1038:calls=289,total_time_us=6518,avg_time_us=22.55,min_time_us=1,max_time_us=2041
cmdstat_bench_key_1039:calls=295,total_time_us=2095,avg_time_us=7.10,min_time_us=1,max_time_us=383
cmdstat_bench_key_104:calls=312,total_time_us=24521,avg_time_us=78.59,min_time_us=1,max_time_us=14153
cmdstat_bench_key_1040:calls=301,total_time_us=4192,avg_time_us=13.93,min_time_us=1,max_time_us=1493
cmdstat_bench_key_1041:calls=322,total_time_us=5167,avg_time_us=16.05,min_time_us=1,max_time_us=1081
cmdstat_bench_key_1042:calls=269,total_time_us=2855,avg_time_us=10.61,min_time_us=1,max_time_us=789
cmdstat_bench_key_1043:calls=307,total_time_us=2236,avg_time_us=7.28,min_time_us=0,max_time_us=334
cmdstat_bench_key_1044:calls=298,total_time_us=4425,avg_time_us=14.85,min_time_us=1,max_time_us=938
cmdstat_bench_key_1045:calls=310,total_time_us=6749,avg_time_us=21.77,min_time_us=1,max_time_us=3215
cmdstat_bench_key_1046:calls=296,total_time_us=33409,avg_time_us=112.87,min_time_us=1,max_time_us=25520
cmdstat_bench_key_1047:calls=282,total_time_us=22134,avg_time_us=78.49,min_time_us=1,max_time_us=18695
cmdstat_bench_key_1048:calls=275,total_time_us=3017,avg_time_us=10.97,min_time_us=1,max_time_us=1080
cmdstat_bench_key_1049:calls=323,total_time_us=70787,avg_time_us=219.15,min_time_us=1,max_time_us=67595
cmdstat_bench_key_105:calls=311,total_time_us=19265,avg_time_us=61.95,min_time_us=1,max_time_us=10536
cmdstat_bench_key_1050:calls=315,total_time_us=3061,avg_time_us=9.72,min_time_us=1,max_time_us=467
cmdstat_bench_key_1051:calls=305,total_time_us=3124,avg_time_us=10.24,min_time_us=1,max_time_us=681
cmdstat_bench_key_1052:calls=304,total_time_us=4168,avg_time_us=13.71,min_time_us=1,max_time_us=1152
cmdstat_bench_key_1053:calls=318,total_time_us=46559,avg_time_us=146.41,min_time_us=1,max_time_us=43703
cmdstat_bench_key_1054:calls=292,total_time_us=39062,avg_time_us=133.77,min_time_us=1,max_time_us=14806
cmdstat_bench_key_1055:calls=312,total_time_us=2503,avg_time_us=8.02,min_time_us=1,max_time_us=313
cmdstat_bench_key_1056:calls=302,total_time_us=21985,avg_time_us=72.80,min_time_us=1,max_time_us=9966
cmdstat_bench_key_1057:calls=317,total_time_us=3883,avg_time_us=12.25,min_time_us=1,max_time_us=996
cmdstat_bench_key_1058:calls=327,total_time_us=10171,avg_time_us=31.10,min_time_us=1,max_time_us=7563
cmdstat_bench_key_1059:calls=280,total_time_us=14765,avg_time_us=52.73,min_time_us=1,max_time_us=12343
cmdstat_bench_key_106:calls=305,total_time_us=17856,avg_time_us=58.54,min_time_us=0,max_time_us=12689
cmdstat_bench_key_1060:calls=312,total_time_us=7234,avg_time_us=23.19,min_time_us=1,max_time_us=1916
cmdstat_bench_key_1061:calls=292,total_time_us=3940,avg_time_us=13.49,min_time_us=1,max_time_us=1695
cmdstat_bench_key_1062:calls=302,total_time_us=4304,avg_time_us=14.25,min_time_us=1,max_time_us=1205
cmdstat_bench_key_1063:calls=311,total_time_us=10713,avg_time_us=34.45,min_time_us=1,max_time_us=4227
cmdstat_bench_key_1064:calls=285,total_time_us=23936,avg_time_us=83.99,min_time_us=1,max_time_us=19794
cmdstat_bench_key_1065:calls=314,total_time_us=2981,avg_time_us=9.49,min_time_us=1,max_time_us=486
cmdstat_bench_key_1066:calls=310,total_time_us=65802,avg_time_us=212.26,min_time_us=1,max_time_us=52591
cmdstat_bench_key_1067:calls=300,total_time_us=2726,avg_time_us=9.09,min_time_us=1,max_time_us=634
cmdstat_bench_key_1068:calls=329,total_time_us=4435,avg_time_us=13.48,min_time_us=1,max_time_us=1578
cmdstat_bench_key_1069:calls=305,total_time_us=23130,avg_time_us=75.84,min_time_us=1,max_time_us=10825
cmdstat_bench_key_107:calls=279,total_time_us=3190,avg_time_us=11.43,min_time_us=1,max_time_us=868
cmdstat_bench_key_1070:calls=301,total_time_us=4052,avg_time_us=13.46,min_time_us=1,max_time_us=926
cmdstat_bench_key_1071:calls=265,total_time_us=1933,avg_time_us=7.29,min_time_us=1,max_time_us=216
cmdstat_bench_key_1072:calls=301,total_time_us=14253,avg_time_us=47.35,min_time_us=1,max_time_us=10598
cmdstat_bench_key_1073:calls=288,total_time_us=3121,avg_time_us=10.84,min_time_us=1,max_time_us=725
cmdstat_bench_key_1074:calls=303,total_time_us=1777,avg_time_us=5.86,min_time_us=1,max_time_us=105
cmdstat_bench_key_1075:calls=306,total_time_us=37353,avg_time_us=122.07,min_time_us=1,max_time_us=33110
cmdstat_bench_key_1076:calls=272,total_time_us=27353,avg_time_us=100.56,min_time_us=1,max_time_us=23170
cmdstat_bench_key_1077:calls=315,total_time_us=7140,avg_time_us=22.67,min_time_us=0,max_time_us=5137
cmdstat_bench_key_1078:calls=305,total_time_us=38981,avg_time_us=127.81,min_time_us=1,max_time_us=34048
cmdstat_bench_key_1079:calls=271,total_time_us=90267,avg_time_us=333.09,min_time_us=1,max_time_us=75566
cmdstat_bench_key_108:calls=273,total_time_us=2100,avg_time_us=7.69,min_time_us=1,max_time_us=322
cmdstat_bench_key_1080:calls=266,total_time_us=2003,avg_time_us=7.53,min_time_us=1,max_time_us=188
cmdstat_bench_key_1081:calls=297,total_time_us=46452,avg_time_us=156.40,min_time_us=1,max_time_us=40558
cmdstat_bench_key_1082:calls=272,total_time_us=4366,avg_time_us=16.05,min_time_us=0,max_time_us=2207
cmdstat_bench_key_1083:calls=296,total_time_us=48484,avg_time_us=163.80,min_time_us=1,max_time_us=35994
cmdstat_bench_key_1084:calls=286,total_time_us=33560,avg_time_us=117.34,min_time_us=1,max_time_us=30324
cmdstat_bench_key_1085:calls=316,total_time_us=5605,avg_time_us=17.74,min_time_us=1,max_time_us=849
cmdstat_bench_key_1086:calls=318,total_time_us=14253,avg_time_us=44.82,min_time_us=1,max_time_us=9786
cmdstat_bench_key_1087:calls=353,total_time_us=3741,avg_time_us=10.60,min_time_us=1,max_time_us=574
cmdstat_bench_key_1088:calls=274,total_time_us=6752,avg_time_us=24.64,min_time_us=1,max_time_us=4403
cmdstat_bench_key_1089:calls=318,total_time_us=75983,avg_time_us=238.94,min_time_us=1,max_time_us=73494
cmdstat_bench_key_109:calls=307,total_time_us=2819,avg_time_us=9.18,min_time_us=1,max_time_us=754
cmdstat_bench_key_1090:calls=305,total_time_us=3909,avg_time_us=12.82,min_time_us=1,max_time_us=512
cmdstat_bench_key_1091:calls=278,total_time_us=3890,avg_time_us=13.99,min_time_us=1,max_time_us=866
cmdstat_bench_key_1092:calls=318,total_time_us=12491,avg_time_us=39.28,min_time_us=1,max_time_us=9194
cmdstat_bench_key_1093:calls=327,total_time_us=6666,avg_time_us=20.39,min_time_us=1,max_time_us=2354
cmdstat_bench_key_1094:calls=310,total_time_us=3869,avg_time_us=12.48,min_time_us=1,max_time_us=1597
cmdstat_bench_key_1095:calls=314,total_time_us=4114,avg_time_us=13.10,min_time_us=1,max_time_us=1141
cmdstat_bench_key_1096:calls=280,total_time_us=1989,avg_time_us=7.10,min_time_us=0,max_time_us=259
cmdstat_bench_key_1097:calls=311,total_time_us=5610,avg_time_us=18.04,min_time_us=1,max_time_us=1080
cmdstat_bench_key_1098:calls=287,total_time_us=63941,avg_time_us=222.79,min_time_us=1,max_time_us=62035
cmdstat_bench_key_1099:calls=277,total_time_us=2949,avg_time_us=10.65,min_time_us=1,max_time_us=949
cmdstat_bench_key_11:calls=287,total_time_us=9149,avg_time_us=31.88,min_time_us=1,max_time_us=6517
cmdstat_bench_key_110:calls=278,total_time_us=4082,avg_time_us=14.68,min_time_us=0,max_time_us=1203
cmdstat_bench_key_1100:calls=333,total_time_us=15369,avg_time_us=46.15,min_time_us=1,max_time_us=12480
cmdstat_bench_key_1101:calls=299,total_time_us=44789,avg_time_us=149.80,min_time_us=1,max_time_us=41391
cmdstat_bench_key_1102:calls=304,total_time_us=17384,avg_time_us=57.18,min_time_us=1,max_time_us=13942
cmdstat_bench_key_1103:calls=305,total_time_us=3032,avg_time_us=9.94,min_time_us=0,max_time_us=964
cmdstat_bench_key_1104:calls=303,total_time_us=7363,avg_time_us=24.30,min_time_us=1,max_time_us=1715
cmdstat_bench_key_1105:calls=290,total_time_us=24857,avg_time_us=85.71,min_time_us=0,max_time_us=21724
cmdstat_bench_key_1106:calls=320,total_time_us=39325,avg_time_us=122.89,min_time_us=1,max_time_us=36595
cmdstat_bench_key_1107:calls=335,total_time_us=16334,avg_time_us=48.76,min_time_us=1,max_time_us=7426
cmdstat_bench_key_1108:calls=287,total_time_us=8564,avg_time_us=29.84,min_time_us=1,max_time_us=4380
cmdstat_bench_key_1109:calls=313,total_time_us=25103,avg_time_us=80.20,min_time_us=1,max_time_us=16898
cmdstat_bench_key_111:calls=286,total_time_us=3902,avg_time_us=13.64,min_time_us=1,max_time_us=1386
cmdstat_bench_key_1110:calls=317,total_time_us=45268,avg_time_us=142.80,min_time_us=0,max_time_us=41941
cmdstat_bench_key_1111:calls=266,total_time_us=2852,avg_time_us=10.72,min_time_us=1,max_time_us=874
cmdstat_bench_key_1112:calls=293,total_time_us=18760,avg_time_us=64.03,min_time_us=1,max_time_us=9513
cmdstat_bench_key_1113:calls=312,total_time_us=5036,avg_time_us=16.14,min_time_us=1,max_time_us=1355
cmdstat_bench_key_1114:calls=296,total_time_us=11948,avg_time_us=40.36,min_time_us=1,max_time_us=9720
cmdstat_bench_key_1115:calls=293,total_time_us=6046,avg_time_us=20.63,min_time_us=1,max_time_us=2863
cmdstat_bench_key_1116:calls=320,total_time_us=3247,avg_time_us=10.15,min_time_us=1,max_time_us=1158
cmdstat_bench_key_1117:calls=308,total_time_us=2764,avg_time_us=8.97,min_time_us=1,max_time_us=1205
cmdstat_bench_key_1118:calls=321,total_time_us=75745,avg_time_us=235.97,min_time_us=1,max_time_us=70721
cmdstat_bench_key_1119:calls=305,total_time_us=25761,avg_time_us=84.46,min_time_us=1,max_time_us=14356
cmdstat_bench_key_112:calls=285,total_time_us=4392,avg_time_us=15.41,min_time_us=1,max_time_us=656
cmdstat_bench_key_1120:calls=288,total_time_us=3112,avg_time_us=10.81,min_time_us=1,max_time_us=1074
cmdstat_bench_key_1121:calls=284,total_time_us=2442,avg_time_us=8.60,min_time_us=1,max_time_us=503
cmdstat_bench_key_1122:calls=286,total_time_us=4343,avg_time_us=15.19,min_time_us=0,max_time_us=1509
cmdstat_bench_key_1123:calls=295,total_time_us=8916,avg_time_us=30.22,min_time_us=1,max_time_us=5069
cmdstat_bench_key_1124:calls=316,total_time_us=3088,avg_time_us=9.77,min_time_us=1,max_time_us=446
cmdstat_bench_key_1125:calls=298,total_time_us=3983,avg_time_us=13.37,min_time_us=1,max_time_us=2352
cmdstat_bench_key_1126:calls=289,total_time_us=1804,avg_time_us=6.24,min_time_us=1,max_time_us=218
cmdstat_bench_key_1127:calls=314,total_time_us=3188,avg_time_us=10.15,min_time_us=1,max_time_us=1249
cmdstat_bench_key_1128:calls=297,total_time_us=4072,avg_time_us=13.71,min_time_us=1,max_time_us=914
cmdstat_bench_key_1129:calls=298,total_time_us=23047,avg_time_us=77.34,min_time_us=0,max_time_us=17055
cmdstat_bench_key_113:calls=314,total_time_us=11484,avg_time_us=36.57,min_time_us=1,max_time_us=5104
cmdstat_bench_key_1130:calls=294,total_time_us=4884,avg_time_us=16.61,min_time_us=1,max_time_us=1215
cmdstat_bench_key_1131:calls=298,total_time_us=2609,avg_time_us=8.76,min_time_us=0,max_time_us=423
cmdstat_bench_key_1132:calls=327,total_time_us=17433,avg_time_us=53.31,min_time_us=1,max_time_us=12450
cmdstat_bench_key_1133:calls=288,total_time_us=2158,avg_time_us=7.49,min_time_us=1,max_time_us=312
cmdstat_bench_key_1134:calls=334,total_time_us=5005,avg_time_us=14.99,min_time_us=1,max_time_us=2203
